pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Alanine, aspartate and glutamate metabolism	0.0445105082335169	0.267702679120995	0.321775918075361	0.583916467321535	1.55187017397784	26	ASNS, ASS1, NAT8L, GPT2, GFPT1, GOT1, GFPT2, ADSL
Amino sugar and nucleotide sugar metabolism	0.729074889867841	0.860448300795372	0.0649407684612899	0.283625820907229	0.829814450406208	40	HK2, GFPT1, NPL, GFPT2, AMDHD2, GMDS, CYB5R2, GNPNAT1, GALE, PMM1, NANS
Arachidonic acid metabolism	0.028730616008809	0.227767848877596	0.352487857583619	-0.588108521117296	-1.56953347893144	25	PLA2G3, HPGD, PTGS1, CBR3
Arginine and proline metabolism	0.217484008528785	0.608955223880597	0.135740943810425	0.430564904544129	1.21466712394188	33	SMOX, ARG2, PYCR1, ALDH2, GOT1, PYCR2, CNDP2, AGMAT, ODC1
Arginine biosynthesis	0.0270980769411618	0.227767848877596	0.352487857583619	0.714746497660625	1.69651928238723	15	ARG2, ASS1, GPT2, ACY1, GOT1, NAGS
Ascorbate and aldarate metabolism	0.587443946188341	0.856003544528135	0.0766746872490091	0.437490791439788	0.892741348715842	8	ALDH2, ALDH3A2, UGDH, AKR1A1
Biosynthesis of unsaturated fatty acids	0.0125644733591848	0.191478185151983	0.380730400722792	-0.655213719958785	-1.67589389852954	21	ELOVL3, FADS2, SCD5, ELOVL7, ELOVL4, SCD, FADS1, TECR, SCP2, ELOVL6, ELOVL5, HSD17B4, ACOX3
Biotin metabolism	0.596112311015119	0.856003544528135	0.0739901439101341	0.554919224769549	0.909960762417144	3	HLCS
Butanoate metabolism	0.134935304990758	0.472273567467652	0.163180127180689	-0.562729212843442	-1.32046294742703	15	EHHADH, ACADS, ACAT2, HADH, HMGCS1
Caffeine metabolism	0.165338645418327	0.555537848605578	0.152144922367565	-0.929020664869721	-1.21611362169142	1	NAT1
Citrate cycle (TCA cycle)	0.5119825708061	0.793388429752066	0.0824344091527096	0.354698635331619	0.946443559809883	27	PCK2, IDH1
